Order,Name,Kind,Gateway,Created At,Status,Amount,Currency,Card Type,Payment Method
6244972363829,#3497,sale,cash,2026-02-14 20:57:43 +0400,success,41.00,AED,"",""
6244503978037,#3496,sale,cash,2026-02-14 12:39:02 +0400,success,730.00,AED,"",""
6242554445877,#3495,sale,Network POS,2026-02-13 17:37:21 +0400,success,29.50,AED,"",""
6240952352821,#3494,capture,Stripe Card Payments,2026-02-12 17:48:10 +0400,success,129.40,AED,visa,card
6239590285365,#3493,sale,Network POS,2026-02-11 15:43:39 +0400,success,94.00,AED,"",""
6238546755637,#3492,sale,Network POS,2026-02-10 21:16:04 +0400,success,15.00,AED,"",""
6238545412149,#3491,sale,Network POS,2026-02-10 21:14:44 +0400,success,366.00,AED,"",""
6238276780085,#3490,sale,Network POS,2026-02-10 17:27:01 +0400,success,32.00,AED,"",""
6232267423797,#3489,sale,Network POS,2026-02-08 17:57:20 +0400,success,120.60,AED,"",""
6232267423797,#3489,refund,Network POS,2026-02-09 09:56:46 +0400,success,0.60,AED,"",""
6232258314293,#3488,sale,cash,2026-02-08 17:47:29 +0400,success,38.00,AED,"",""
6232214831157,#3487,sale,Network POS,2026-02-08 16:56:23 +0400,success,192.36,AED,"",""
6232128880693,#3486,sale,Network POS,2026-02-08 14:51:05 +0400,success,170.00,AED,"",""
6232062984245,#3485,sale,Network POS,2026-02-08 13:14:47 +0400,success,64.50,AED,"",""
6230732144693,#3484,sale,Network POS,2026-02-07 13:00:34 +0400,success,176.81,AED,"",""
6229699395637,#3483,capture,Stripe Card Payments,2026-02-06 19:32:07 +0400,success,471.80,AED,visa,card
6229652635701,#3482,sale,Network POS,2026-02-06 17:48:20 +0400,success,89.80,AED,"",""
6229530017845,#3481,sale,Network POS,2026-02-06 15:21:53 +0400,success,150.00,AED,"",""
6228500807733,#3480,sale,Network POS,2026-02-05 22:12:25 +0400,success,268.20,AED,"",""
6228500807733,#3480,sale,Network POS,2026-02-07 21:52:30 +0400,success,49.50,AED,"",""
6228161855541,#3479,sale,Network POS,2026-02-05 16:39:43 +0400,success,42.00,AED,"",""
6227969179701,#3478,sale,Network POS,2026-02-05 11:40:05 +0400,success,48.50,AED,"",""
6227913736245,#3477,sale,Network POS,2026-02-05 10:15:08 +0400,success,15.00,AED,"",""
6226939478069,#3476,sale,Network POS,2026-02-04 19:14:51 +0400,success,34.20,AED,"",""
6226692112437,#3475,capture,Stripe Card Payments,2026-02-04 19:59:52 +0400,success,117.40,AED,visa,card
6225574592565,#3474,sale,Network POS,2026-02-03 20:38:06 +0400,success,700.70,AED,"",""
6225518854197,#3473,sale,Network POS,2026-02-03 19:47:08 +0400,success,216.00,AED,"",""
6225407213621,#3472,sale,Network POS,2026-02-03 17:43:14 +0400,success,500.00,AED,"",""
6225407213621,#3472,sale,Network POS,2026-02-03 17:43:49 +0400,success,284.40,AED,"",""
6225297571893,#3471,sale,Network POS,2026-02-03 15:16:53 +0400,success,65.00,AED,"",""
6225207132213,#3470,sale,Network POS,2026-02-03 12:53:00 +0400,success,99.00,AED,"",""
6225199104053,#3469,sale,Network POS,2026-02-03 12:40:27 +0400,success,212.50,AED,"",""
6224007299125,#3468,sale,cash,2026-02-02 16:09:14 +0400,success,47.50,AED,"",""
6221580992565,#3467,sale,cash,2026-01-31 22:10:34 +0400,success,60.00,AED,"",""
6221463027765,#3466,sale,Network POS,2026-01-31 20:45:41 +0400,success,485.30,AED,"",""
6220952666165,#3465,sale,Network POS,2026-01-31 11:09:35 +0400,success,60.50,AED,"",""
6220300189749,#3464,capture,Stripe Card Payments,2026-01-31 09:53:38 +0400,success,668.00,AED,master,card
6219895242805,#3463,sale,Network POS,2026-01-30 17:48:36 +0400,success,32.00,AED,"",""
6218471931957,#3462,capture,Stripe Card Payments,2026-01-30 18:53:55 +0400,success,115.00,AED,visa,card
6218433462325,#3461,capture,Stripe Card Payments,2026-01-30 18:53:47 +0400,success,816.30,AED,master,card
6218240032821,#3460,sale,Network POS,2026-01-29 11:02:11 +0400,success,109.50,AED,"",""
6218238885941,#3459,sale,Network POS,2026-01-29 11:00:48 +0400,success,105.00,AED,"",""
6218208510005,#3458,capture,Stripe Card Payments,2026-01-29 10:31:17 +0400,success,2086.00,AED,visa,card
6217261482037,#3457,sale,Network POS,2026-01-28 19:55:36 +0400,success,147.00,AED,"",""
6217029124149,#3456,sale,Network POS,2026-01-28 15:25:58 +0400,success,46.50,AED,"",""
6216990588981,#3455,sale,Network POS,2026-01-28 14:25:55 +0400,success,40.00,AED,"",""
6216911519797,#3454,capture,Stripe Card Payments,2026-01-29 18:08:06 +0400,success,361.00,AED,master,card
6216911519797,#3454,capture,Stripe Card Payments,2026-01-30 17:04:16 +0400,success,220.00,AED,master,card
6215899611189,#3453,sale,Network POS,2026-01-27 18:20:00 +0400,success,50.30,AED,"",""
6215854751797,#3452,capture,Stripe Card Payments,2026-01-27 20:43:53 +0400,success,233.80,AED,visa,card
6215730757685,#3451,capture,Stripe Card Payments,2026-01-31 16:20:59 +0400,success,375.00,AED,master,card
6215730757685,#3451,capture,Stripe Card Payments,2026-01-31 16:21:01 +0400,success,285.00,AED,master,card
6215628128309,#3450,sale,Network POS,2026-01-27 11:54:01 +0400,success,15.00,AED,"",""
6215489978421,#3449,capture,Stripe Card Payments,2026-01-29 12:38:10 +0400,success,145.00,AED,visa,card
6212347854901,#3448,sale,Network POS,2026-01-24 22:15:49 +0400,success,145.60,AED,"",""
6212336058421,#3447,sale,Network POS,2026-01-24 22:05:03 +0400,success,23.50,AED,"",""
6212316790837,#3446,sale,Network POS,2026-01-24 21:50:45 +0400,success,167.00,AED,"",""
6211893297205,#3445,sale,Network POS,2026-01-24 14:37:47 +0400,success,172.00,AED,"",""
6211039461429,#3444,capture,Stripe Card Payments,2026-01-27 13:11:55 +0400,success,225.00,AED,visa,card
6209728610357,#3443,capture,Stripe Card Payments,2026-01-22 21:17:47 +0400,success,97.00,AED,visa,card
6209647771701,#3442,capture,Stripe Card Payments,2026-01-23 15:56:55 +0400,success,220.50,AED,visa,card
6209257701429,#3441,capture,Stripe Card Payments,2026-01-23 15:57:05 +0400,success,461.00,AED,visa,card
6209215660085,#3440,capture,Stripe Card Payments,2026-01-22 11:10:45 +0400,success,2690.80,AED,visa,card
6208469106741,#3439,capture,Stripe Card Payments,2026-01-23 12:31:51 +0400,success,170.00,AED,visa,card
6208337018933,#3438,sale,Network POS,2026-01-21 18:57:04 +0400,success,102.00,AED,"",""
6208331218997,#3437,sale,Bank transfer,2026-01-21 18:58:28 +0400,success,454.50,AED,"",""
6207137185845,#3436,sale,Network POS,2026-01-20 19:34:00 +0400,success,163.80,AED,"",""
6207124275253,#3435,sale,Network POS,2026-01-20 19:20:22 +0400,success,252.00,AED,"",""
6206809833525,#3434,sale,Network POS,2026-01-20 11:26:58 +0400,success,57.00,AED,"",""
6204693741621,#3433,sale,Network POS,2026-01-18 20:43:18 +0400,success,122.00,AED,"",""
6204455878709,#3432,sale,Network POS,2026-01-18 16:19:26 +0400,success,1298.40,AED,"",""
6204391325749,#3431,sale,Network POS,2026-01-18 14:39:22 +0400,success,452.50,AED,"",""
6203570028597,#3430,sale,Network POS,2026-01-17 22:25:20 +0400,success,154.60,AED,"",""
6203381383221,#3429,capture,Stripe Card Payments,2026-01-18 15:17:51 +0400,success,299.25,AED,visa,card
6203372601397,#3428,sale,Network POS,2026-01-17 19:44:33 +0400,success,159.00,AED,"",""
6203363131445,#3427,sale,cash,2026-01-17 19:36:31 +0400,success,147.60,AED,"",""
6203297300533,#3426,sale,Network POS,2026-01-17 18:28:20 +0400,success,60.00,AED,"",""
6202937114677,#3425,sale,Network POS,2026-01-17 09:47:34 +0400,success,30.00,AED,"",""
6201604669493,#3424,capture,Stripe Card Payments,2026-01-16 14:49:50 +0400,success,830.00,AED,visa,card
6201604669493,#3424,refund,Stripe Card Payments,2026-02-10 20:10:56 +0400,success,745.00,AED,visa,card
6200187289653,#3423,sale,Network POS,2026-01-15 16:17:02 +0400,success,245.10,AED,"",""
6198551281717,#3422,sale,Network POS,2026-01-14 09:29:44 +0400,success,329.42,AED,"",""
6198472343605,#3421,capture,Stripe Card Payments,2026-01-14 12:35:38 +0400,success,139.00,AED,visa,card
6197675589685,#3420,sale,Network POS,2026-01-13 18:23:58 +0400,success,234.81,AED,"",""
6197609070645,#3419,sale,Network POS,2026-01-13 16:57:03 +0400,success,1146.50,AED,"",""
6195214417973,#3418,sale,Network POS,2026-01-11 20:47:35 +0400,success,132.40,AED,"",""
6195106840629,#3417,sale,Network POS,2026-01-11 19:01:32 +0400,success,99.00,AED,"",""
6194994577461,#3416,sale,Network POS,2026-01-11 16:37:53 +0400,success,51.00,AED,"",""
6194902270005,#3415,sale,cash,2026-01-11 14:09:41 +0400,success,64.80,AED,"",""
6194862129205,#3414,sale,Network POS,2026-01-11 13:04:40 +0400,success,51.00,AED,"",""
6193815322677,#3413,sale,Network POS,2026-01-10 16:51:27 +0400,success,666.51,AED,"",""
6191229337653,#3412,sale,Network POS,2026-01-09 19:41:29 +0400,success,2816.80,AED,"",""
6191118778421,#3411,sale,Network POS,2026-01-09 17:54:19 +0400,success,186.50,AED,"",""
6191002320949,#3410,sale,cash,2026-01-09 15:30:49 +0400,success,57.00,AED,"",""
6190297219125,#3409,void,Stripe Card Payments,2026-01-16 14:39:27 +0400,success,120.00,AED,visa,card
6189541228597,#3408,sale,Network POS,2026-01-08 17:16:02 +0400,success,12.00,AED,"",""
6188053987381,#3407,sale,Network POS,2026-01-07 18:52:05 +0400,success,16.00,AED,"",""
6186347528245,#3406,sale,Network POS,2026-01-06 13:35:35 +0400,success,55.00,AED,"",""
6184720400437,#3405,capture,Stripe Card Payments,2026-01-05 10:20:38 +0400,success,841.30,AED,visa,card
6184136736821,#3404,capture,Stripe Card Payments,2026-01-05 15:43:25 +0400,success,324.00,AED,master,card
6183837302837,#3403,sale,Network POS,2026-01-04 18:45:56 +0400,success,30.00,AED,"",""
6183549468725,#3402,sale,Network POS,2026-01-04 13:34:52 +0400,success,968.00,AED,"",""
6183530135605,#3401,sale,Network POS,2026-01-04 13:10:09 +0400,success,751.50,AED,"",""
6182532481077,#3400,sale,Network POS,2026-01-03 20:05:49 +0400,success,10.00,AED,"",""
6182369951797,#3399,sale,Network POS,2026-01-03 17:42:33 +0400,success,809.98,AED,"",""
6182317654069,#3398,sale,Network POS,2026-01-03 16:56:21 +0400,success,259.00,AED,"",""
6182192807989,#3397,sale,Network POS,2026-01-03 15:49:07 +0400,success,315.00,AED,"",""
6182182682677,#3396,sale,Network POS,2026-01-03 14:40:14 +0400,success,361.60,AED,"",""
6182118719541,#3395,sale,Network POS,2026-01-03 13:40:39 +0400,success,110.00,AED,"",""
6182099779637,#3394,capture,Stripe Card Payments,2026-01-03 14:43:53 +0400,success,509.61,AED,visa,card
6181931122741,#3393,sale,Network POS,2026-01-03 10:08:23 +0400,success,40.00,AED,"",""
6180706222133,#3392,sale,cash,2026-01-02 16:12:51 +0400,success,36.00,AED,"",""
6179181985845,#3391,capture,Stripe Card Payments,2026-01-05 13:55:44 +0400,success,442.30,AED,visa,card
6179065823285,#3390,sale,cash,2026-01-01 19:30:35 +0400,success,32.00,AED,"",""
6178959163445,#3389,sale,Network POS,2026-01-01 17:56:58 +0400,success,323.00,AED,"",""
6178753347637,#3388,capture,Stripe Card Payments,2026-01-02 16:08:19 +0400,success,240.00,AED,visa,card
6178595471413,#3387,sale,cash,2026-01-01 11:00:46 +0400,success,57.00,AED,"",""
6177485881397,#3386,sale,Network POS,2025-12-31 17:58:05 +0400,success,50.40,AED,"",""
6177372241973,#3385,capture,Stripe Card Payments,2026-01-02 16:06:31 +0400,success,252.30,AED,visa,card
6177351270453,#3384,capture,Stripe Card Payments,2026-01-02 16:06:06 +0400,success,202.00,AED,visa,card
6175701958709,#3383,sale,Network POS,2025-12-30 19:37:53 +0400,success,539.41,AED,"",""
6175489916981,#3382,capture,Stripe Card Payments,2025-12-30 19:38:56 +0400,success,768.40,AED,visa,card
6175429984309,#3381,sale,Network POS,2025-12-30 16:06:22 +0400,success,1971.70,AED,"",""
6173406724149,#3380,sale,Network POS,2025-12-29 16:45:20 +0400,success,50.00,AED,"",""
6172083355701,#3379,sale,cash,2025-12-28 18:22:33 +0400,success,151.46,AED,"",""
6171952873525,#3378,capture,Stripe Card Payments,2025-12-28 15:25:39 +0400,success,209.00,AED,visa,card
6171762950197,#3377,sale,Network POS,2025-12-28 09:59:40 +0400,success,80.00,AED,"",""
6170914848821,#3376,sale,Network POS,2025-12-27 20:21:37 +0400,success,172.00,AED,"",""
6170771750965,#3375,sale,Network POS,2025-12-27 18:08:13 +0400,success,47.00,AED,"",""
6170771750965,#3375,sale,Network POS,2025-12-27 18:28:11 +0400,success,13.50,AED,"",""
6170511999029,#3374,capture,Stripe Card Payments,2025-12-28 15:14:50 +0400,success,217.40,AED,visa,card
